k,strategy,model_type,avg_infection_rate,std_dev_infection_rate,num_runs_collected,avg_infection_count,simple_roi,marginal_benefit_rate
1,HighBetweenness,IC,0.6802721088435375,0.0317864983421228,10,680.2721088435375,679.2721088435375,
3,HighBetweenness,IC,0.7346938775510204,0.0441740583645763,10,734.6938775510205,243.8979591836735,0.02721088435374147
5,HighBetweenness,IC,0.7506802721088435,0.034614867126386,10,750.6802721088435,149.1360544217687,0.007993197278911512
10,HighBetweenness,IC,0.7261904761904762,0.0375435843306087,10,726.1904761904761,71.61904761904762,-0.004897959183673461
15,HighBetweenness,IC,0.7653061224489797,0.0353479756646709,10,765.3061224489796,50.02040816326531,0.0078231292517007
1,HighBetweenness,LT,0.023469387755102,0.0310686560379092,10,23.469387755101998,22.469387755101998,
3,HighBetweenness,LT,0.0755102040816326,0.0917569150059079,10,75.5102040816326,24.170068027210863,0.0260204081632653
5,HighBetweenness,LT,0.0724489795918367,0.052376780271852,10,72.4489795918367,13.48979591836734,-0.0015306122448979498
10,HighBetweenness,LT,0.2207482993197279,0.1272718032315891,10,220.7482993197279,21.07482993197279,0.029659863945578235
15,HighBetweenness,LT,0.3346938775510203,0.1071677495709164,10,334.6938775510203,21.31292517006802,0.022789115646258483
1,HighDegree,IC,0.6782312925170068,0.026887725819105,10,678.2312925170068,677.2312925170068,
3,HighDegree,IC,0.6632653061224489,0.0128273338990756,10,663.2653061224489,220.08843537414964,-0.007482993197278909
5,HighDegree,IC,0.6639455782312924,0.0107321175203621,10,663.9455782312924,131.7891156462585,0.0003401360544217358
10,HighDegree,IC,0.665986394557823,0.0221480552327886,10,665.986394557823,65.5986394557823,0.00040816326530612734
15,HighDegree,IC,0.6646258503401361,0.0191874791848582,10,664.6258503401361,43.308390022675745,-0.0002721088435373886
1,HighDegree,LT,0.0326530612244898,0.0469995334531759,10,32.6530612244898,31.653061224489797,
3,HighDegree,LT,0.0931972789115646,0.0941957864802372,10,93.1972789115646,30.065759637188197,0.0302721088435374
5,HighDegree,LT,0.1034013605442177,0.0487976380112373,10,103.4013605442177,19.68027210884354,0.00510204081632655
10,HighDegree,LT,0.195578231292517,0.0686151838827109,10,195.578231292517,18.557823129251698,0.018435374149659862
15,HighDegree,LT,0.2741496598639455,0.0857520702811261,10,274.14965986394554,17.276643990929703,0.0157142857142857
1,Random,IC,0.0380952380952381,0.0377671870235317,10,38.0952380952381,37.0952380952381,
3,Random,IC,0.6823129251700679,0.0305576063998603,10,682.312925170068,226.437641723356,0.3221088435374149
5,Random,IC,0.7204081632653061,0.0597754103777673,10,720.4081632653061,143.08163265306123,0.01904761904761909
10,Random,IC,0.7731292517006801,0.0348369731403248,10,773.1292517006801,76.31292517006801,0.010544217687074808
15,Random,IC,0.74421768707483,0.0599900753305723,10,744.21768707483,48.61451247165533,-0.005782312925170019
1,Random,LT,0.0129251700680272,0.0123992953419431,10,12.9251700680272,11.9251700680272,
3,Random,LT,0.0717687074829932,0.0793075593310349,10,71.76870748299321,22.92290249433107,0.029421768707483
5,Random,LT,0.1391156462585034,0.1085887276249995,10,139.1156462585034,26.82312925170068,0.033673469387755096
10,Random,LT,0.2551020408163265,0.1140005620884301,10,255.10204081632648,24.510204081632647,0.023197278911564617
15,Random,LT,0.3115646258503401,0.1269861515873586,10,311.5646258503401,19.77097505668934,0.011292517006802727
1,TopInfluence,IC,0.6843537414965987,0.0352314115363301,10,684.3537414965987,683.3537414965987,
3,TopInfluence,IC,0.6775510204081633,0.0419286578704935,10,677.5510204081633,224.85034013605443,-0.003401360544217691
5,TopInfluence,IC,0.6622448979591836,0.0226218179811633,10,662.2448979591836,131.44897959183672,-0.007653061224489832
10,TopInfluence,IC,0.6908163265306122,0.0400356816598096,10,690.8163265306122,68.08163265306122,0.005714285714285716
15,TopInfluence,IC,0.6741496598639456,0.0380385065103799,10,674.1496598639455,43.94331065759637,-0.0033333333333333214
1,TopInfluence,LT,0.010204081632653,0.0131245316358165,10,10.204081632652999,9.204081632652999,
3,TopInfluence,LT,0.0802721088435374,0.0728487827726337,10,80.2721088435374,25.757369614512466,0.0350340136054422
5,TopInfluence,LT,0.1619047619047618,0.123454759060015,10,161.9047619047618,31.380952380952362,0.0408163265306122
10,TopInfluence,LT,0.1965986394557823,0.0906292217372711,10,196.5986394557823,18.65986394557823,0.006938775510204098
15,TopInfluence,LT,0.2826530612244898,0.1048547507019195,10,282.6530612244898,17.843537414965986,0.0172108843537415
