k,strategy,model_type,avg_infection_rate,std_dev_infection_rate,num_runs_collected
1,TopInfluence,IC,0.6843537414965987,0.0352314115363301,10
1,TopInfluence,LT,0.010204081632653062,0.013124531635816582,10
1,HighDegree,IC,0.6782312925170068,0.026887725819105014,10
1,HighDegree,LT,0.0326530612244898,0.04699953345317592,10
1,HighBetweenness,IC,0.6802721088435375,0.03178649834212287,10
1,HighBetweenness,LT,0.02346938775510204,0.031068656037909217,10
1,Random,IC,0.0380952380952381,0.037767187023531754,10
1,Random,LT,0.012925170068027212,0.012399295341943145,10
3,TopInfluence,IC,0.6775510204081633,0.041928657870493574,10
3,TopInfluence,LT,0.08027210884353743,0.07284878277263376,10
3,HighDegree,IC,0.6632653061224489,0.012827333899075664,10
3,HighDegree,LT,0.09319727891156464,0.09419578648023726,10
3,HighBetweenness,IC,0.7346938775510204,0.044174058364576316,10
3,HighBetweenness,LT,0.07551020408163267,0.09175691500590799,10
3,Random,IC,0.6823129251700679,0.03055760639986034,10
3,Random,LT,0.07176870748299322,0.07930755933103492,10
5,TopInfluence,IC,0.6622448979591836,0.022621817981163382,10
5,TopInfluence,LT,0.16190476190476188,0.12345475906001502,10
5,HighDegree,IC,0.6639455782312924,0.010732117520362107,10
5,HighDegree,LT,0.1034013605442177,0.04879763801123732,10
5,HighBetweenness,IC,0.7506802721088435,0.03461486712638608,10
5,HighBetweenness,LT,0.07244897959183674,0.05237678027185203,10
5,Random,IC,0.7204081632653061,0.05977541037776732,10
5,Random,LT,0.1391156462585034,0.1085887276249995,10
10,TopInfluence,IC,0.6908163265306122,0.040035681659809697,10
10,TopInfluence,LT,0.1965986394557823,0.0906292217372711,10
10,HighDegree,IC,0.665986394557823,0.02214805523278869,10
10,HighDegree,LT,0.195578231292517,0.06861518388271091,10
10,HighBetweenness,IC,0.7261904761904762,0.03754358433060871,10
10,HighBetweenness,LT,0.22074829931972792,0.12727180323158915,10
10,Random,IC,0.7731292517006801,0.03483697314032481,10
10,Random,LT,0.25510204081632654,0.11400056208843014,10
15,TopInfluence,IC,0.6741496598639456,0.038038506510379995,10
15,TopInfluence,LT,0.28265306122448985,0.10485475070191955,10
15,HighDegree,IC,0.6646258503401361,0.019187479184858205,10
15,HighDegree,LT,0.27414965986394557,0.08575207028112611,10
15,HighBetweenness,IC,0.7653061224489797,0.03534797566467096,10
15,HighBetweenness,LT,0.3346938775510203,0.10716774957091649,10
15,Random,IC,0.74421768707483,0.05999007533057231,10
15,Random,LT,0.31156462585034017,0.12698615158735865,10
